section_order,section_id,section_label,question_order,field_name,label,input_type,required
"0","control","Control operativo y georreferenciación","1","gps_encuesta","GPS de la entrevista","geolocation","SI"
"0","control","Control operativo y georreferenciación","2","foto_general","Foto general del entorno o referencia autorizada","photo","NO"
"0","control","Control operativo y georreferenciación","3","fecha_encuesta","Fecha de la entrevista","date","SI"
"0","control","Control operativo y georreferenciación","4","encuestador","Encuestador/a","text","SI"
"0","control","Control operativo y georreferenciación","5","supervisor","Supervisor/a","text","NO"
"0","control","Control operativo y georreferenciación","6","comunidad","Comunidad / localidad","buttons","SI"
"0","control","Control operativo y georreferenciación","7","segmento_operativo","Segmento operativo / recorrido","text","NO"
"0","control","Control operativo y georreferenciación","8","tipo_informante","Tipo de informante","buttons","SI"
"0","control","Control operativo y georreferenciación","9","consentimiento_informado","¿Acepta participar voluntariamente?","buttons","SI"
"1","identificacion","Identificación de la persona artesana","1","nombre_completo_raw","Nombre y apellido declarado","text","SI"
"1","identificacion","Identificación de la persona artesana","2","cedula_raw","Cédula de identidad declarada","text","NO"
"1","identificacion","Identificación de la persona artesana","3","sexo","Sexo","buttons","SI"
"1","identificacion","Identificación de la persona artesana","4","edad","Edad en años cumplidos","number","SI"
"1","identificacion","Identificación de la persona artesana","5","fecha_nacimiento","Fecha de nacimiento","date","NO"
"1","identificacion","Identificación de la persona artesana","6","telefono","Teléfono / WhatsApp","text","NO"
"1","identificacion","Identificación de la persona artesana","7","correo","Correo electrónico","text","NO"
"1","identificacion","Identificación de la persona artesana","8","departamento","Departamento","select","SI"
"1","identificacion","Identificación de la persona artesana","9","distrito","Distrito","select","SI"
"1","identificacion","Identificación de la persona artesana","10","barrio_localidad","Barrio / compañía / localidad","text","SI"
"1","identificacion","Identificación de la persona artesana","11","direccion_referencia","Referencia de ubicación de la vivienda o taller","textarea","NO"
"1","identificacion","Identificación de la persona artesana","12","nro_casa","Número de casa o lote","text","NO"
"1","identificacion","Identificación de la persona artesana","13","jefatura_hogar","¿Es jefe/a de hogar?","buttons","NO"
"1","identificacion","Identificación de la persona artesana","14","estado_civil","Estado civil","select","NO"
"1","identificacion","Identificación de la persona artesana","15","nacionalidad","Nacionalidad","select","NO"
"1","identificacion","Identificación de la persona artesana","16","idioma_principal","Idioma usado con mayor frecuencia","select","NO"
"1","identificacion","Identificación de la persona artesana","17","pertenece_comunidad_indigena","¿Pertenece a pueblo o comunidad indígena?","buttons","SI"
"1","identificacion","Identificación de la persona artesana","18","etnia","Pueblo / etnia","select","NO"
"1","identificacion","Identificación de la persona artesana","19","observaciones_identificacion","Observaciones de identificación","textarea","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","1","miembros_hogar_json","Integrantes del hogar","roster","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","2","total_miembros","Total de integrantes del hogar","number","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","3","n_mujeres","Cantidad de mujeres en el hogar","number","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","4","n_hombres","Cantidad de hombres en el hogar","number","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","5","ninos_0_14","Personas de 0 a 14 años","number","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","6","jovenes_15_29","Personas de 15 a 29 años","number","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","7","adultos_30_64","Personas de 30 a 64 años","number","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","8","adultos_mayores_65mas","Personas de 65 años y más","number","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","9","tipo_vivienda","Tipo de vivienda","select","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","10","tenencia_vivienda","Tenencia de la vivienda","select","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","11","material_paredes","Material predominante de paredes","select","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","12","material_piso","Material predominante del piso","select","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","13","material_techo","Material predominante del techo","select","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","14","fuente_agua_principal","Fuente principal de agua","select","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","15","luz_electrica","¿Cuenta con energía eléctrica?","buttons","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","16","tiene_bano","¿Cuenta con baño?","buttons","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","17","desague_sanitario","Sistema de desagüe sanitario","select","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","18","combustible_cocinar","Principal combustible para cocinar","select","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","19","tiene_internet","¿Cuenta con acceso a internet?","buttons","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","20","equipamiento_hogar","Equipamientos disponibles en el hogar","checkbox_group","NO"
"2","hogar_vivienda","Composición del hogar, vivienda y servicios","21","foto_vivienda","Foto de referencia de vivienda autorizada","photo","NO"
"3","educacion_salud","Educación, salud y protección social","1","nivel_educativo","Máximo nivel educativo alcanzado","select","NO"
"3","educacion_salud","Educación, salud y protección social","2","sabe_leer_escribir","¿Sabe leer y escribir?","buttons","NO"
"3","educacion_salud","Educación, salud y protección social","3","asiste_estudia_actualmente","¿Asiste actualmente a una institución educativa o curso?","buttons","NO"
"3","educacion_salud","Educación, salud y protección social","4","discapacidad_hogar","¿Hay personas con discapacidad en el hogar?","buttons","NO"
"3","educacion_salud","Educación, salud y protección social","5","seguro_medico","Cobertura de salud principal","select","NO"
"3","educacion_salud","Educación, salud y protección social","6","acceso_salud","Lugar habitual de atención en salud","select","NO"
"3","educacion_salud","Educación, salud y protección social","7","dificultad_atencion_salud","Principal dificultad para atención de salud","select","NO"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","1","tipo_artesania_principal","Tipo principal de artesanía","select","SI"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","2","oficio_principal","Oficio o especialidad principal","text","NO"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","3","productos_principales","Productos principales elaborados","textarea","SI"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","4","materia_prima_principal","Materia prima principal","select","SI"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","5","materias_primas_otras","Otras materias primas utilizadas","checkbox_group","NO"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","6","origen_materia_prima","Origen principal de materia prima","select","NO"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","7","dificultad_materia_prima","Dificultad principal para conseguir materia prima","select","NO"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","8","anos_experiencia","Años de experiencia artesanal","number","NO"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","9","aprendio_oficio","¿Cómo aprendió el oficio?","select","NO"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","10","dedicacion_artesania","Dedicación a la artesanía","buttons","SI"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","11","dias_semana_artesania","Días por semana dedicados a artesanía","number","NO"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","12","horas_dia_artesania","Horas promedio por día","number","NO"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","13","lugar_trabajo","Lugar donde produce principalmente","select","NO"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","14","gps_taller","GPS del taller o lugar de producción","geolocation","NO"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","15","foto_taller","Foto del taller o área de trabajo autorizada","photo","NO"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","16","herramientas_disponibles","Herramientas/equipos disponibles","checkbox_group","NO"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","17","necesita_herramientas","Herramientas o equipos que necesita","textarea","NO"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","18","capacitacion_recibida","¿Recibió capacitación artesanal o comercial en los últimos 2 años?","buttons","NO"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","19","temas_capacitacion_recibida","Temas de capacitación recibida","checkbox_group","NO"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","20","necesita_capacitacion","¿Necesita capacitación adicional?","buttons","NO"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","21","temas_capacitacion_necesaria","Temas prioritarios de capacitación","checkbox_group","NO"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","22","trabaja_solo_o_grupo","Forma habitual de trabajo","buttons","NO"
"4","actividad_artesanal","Actividad artesanal y capacidades productivas","23","personas_apoyan_produccion","Cantidad de personas que apoyan la producción","number","NO"
"5","produccion_ventas","Producción, ventas e ingresos","1","produccion_unidades_semana","Unidades producidas por semana aproximada","number","NO"
"5","produccion_ventas","Producción, ventas e ingresos","2","produccion_unidades_mes","Unidades producidas por mes aproximada","number","NO"
